# of 16-1 Poseidon,# of Constraints,Compute witness (s),Prove (s),Full prove (s),memory(GB)
Server #1 (16 Threads),,,,,
3,11076,0.1,0.2,0.3,
10,36920,0.1,0.7,0.8,
30,110760,0.1,1.6,1.7,
100,369200,0.3,5.8,6.2,
150,553800,0.6,9.7,10.3,
200,738400,0.7,11,11.6,
230,856000,0.7,11.8,12.5,
250,923000,0.7,12.4,12.9,
300,1107600,0.8,18.9,19.7,
600,2215200,1.5,36.9,38.1,
900,3322800,2.2,43.5,45.6,
1000,3692000,2.5,46.6,48.9,24G
,,,,,
M1Pro PC (10 Threads),,,,,
3,11076,0.1,0.4,0.5,
10,36920,0.2,1.1,1.3,
30,110760,0.2,2.4,2.6,
100,369200,0.4,8.6,8.9,
150,553800,0.5,15.6,16,
200,738400,0.7,17.8,18,
230,856000,0.8,19.4,20.4,
250,923000,0.9,25.2,23.6,
300,1107600,2,36,32,
600,2215200,2,88,100,
900,3322800,3,118,124,
1000,3692000,3,131,141,
,,,,,
Server #2 (64 Threads),,,,,
3,11076,0.1,0.1,0.2,
10,36920,0.1,0.4,0.4,
30,110760,0.1,0.7,0.8,
100,369200,0.3,2.2,2.5,
150,553800,0.5,5,5.2,
200,738400,0.6,5,5.2,
230,856000,0.7,6,5.2,
250,923000,0.7,6.1,5.4,
300,1107600,1,16,16,
600,2215200,1,30,31,
900,3322800,2,35,37,
1000,3692000,3,37,40,
